Title,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy
CHEMBL4791626,-11.257,-0.363,-1.141,-2.539,-11.28,-4.772,-0.304,-2.311,-49.743,-13.177,0.628,-0.057,-104.892,-62.92
CHEMBL4109108,-11.255,-0.322,-1.052,-2.471,-11.255,-3.604,-0.77,-2.777,-58.017,-12.763,0.711,0,-110.154,-70.78
CHEMBL4107529,-11.247,-0.312,-1.032,-2.454,-11.247,-4.3,-0.536,-2.657,-65.152,-8.245,0.768,-0.027,-113.051,-73.397
CHEMBL4109898,-11.245,-0.304,-1.013,-2.439,-11.245,-3.628,-0.637,-2.788,-67.9,-9.513,0.71,-0.081,-120.145,-77.414
CHEMBL4115117,-11.236,-0.312,-1.031,-2.451,-11.236,-3.916,-0.589,-2.777,-64.965,-9.252,0.704,-0.022,-116.274,-74.217
CHEMBL402361,-11.236,-0.375,-1.164,-2.553,-11.264,-3.832,-0.348,-2.549,-50.69,-15.807,0.487,-0.117,-118.053,-66.496
CHEMBL4109253,-11.235,-0.321,-1.05,-2.466,-11.235,-4.014,-0.601,-2.634,-65.329,-8.919,0.651,-0.033,-115.212,-74.249
CHEMBL4107813,-11.226,-0.33,-1.07,-2.48,-11.226,-3.934,-0.805,-2.427,-57.948,-12.656,0.742,-0.006,-106.731,-70.604
CHEMBL4107813,-11.226,-0.33,-1.07,-2.48,-11.226,-3.934,-0.805,-2.427,-57.948,-12.656,0.742,-0.006,-106.731,-70.604
CHEMBL4107813,-11.226,-0.33,-1.07,-2.48,-11.226,-3.934,-0.805,-2.427,-57.948,-12.656,0.742,-0.006,-106.731,-70.604
CHEMBL4107813,-11.226,-0.33,-1.07,-2.48,-11.226,-3.934,-0.805,-2.427,-57.948,-12.656,0.742,-0.006,-106.731,-70.604
CHEMBL3927317,-11.225,-0.321,-1.049,-2.464,-11.342,-3.343,-0.642,-3.11,-58.953,-12.808,0.622,0,-117.217,-71.761
CHEMBL3938824,-11.216,-0.32,-1.048,-2.462,-11.216,-3.64,-0.534,-3.133,-55.385,-11.792,0.716,-0.087,-105.436,-67.177
CHEMBL4566431,-11.215,-0.288,-0.975,-2.405,-11.282,-4.058,-0.771,-2.006,-51.816,-16.025,0.57,-0.024,-108.445,-67.841
CHEMBL4110216,-11.21,-0.311,-1.028,-2.446,-11.21,-4.04,-0.396,-2.97,-59.979,-10.48,0.767,0,-106.146,-70.459
CHEMBL4110865,-11.206,-0.35,-1.112,-2.509,-11.212,-4.197,-0.32,-2.231,-53.842,-14.122,0.389,-0.043,-111.267,-67.963
CHEMBL3891037,-11.205,-0.28,-0.958,-2.39,-11.385,-3.358,-0.778,-2.957,-63.043,-11.023,0.62,-0.107,-114.576,-74.066
CHEMBL3985495,-11.203,-0.373,-1.16,-2.545,-11.234,-3.656,-0.456,-2.546,-50.133,-19.719,0.931,-0.042,-118.999,-69.852
CHEMBL3966782,-11.2,-0.303,-1.009,-2.429,-11.2,-4.289,-0.594,-1.8,-63.11,-10.95,0.452,-0.171,-119.97,-74.06
