Molecule ChEMBL ID,Smiles
CHEMBL3944326,O=C(Nc1cc(Cl)ccc1OCCCCO)c1cnn2cccnc12
CHEMBL4060511,N#Cc1ccc2ncnc(N[C@H]3CC[C@H](N4CCN(S(=O)(=O)C5CC5)CC4)CC3)c2c1
CHEMBL4087971,CN1CCN([C@H]2CC[C@H](Nc3ncnc4ccc(C#N)cc34)CC2)CC1
CHEMBL4114127,CC(C)NC(=O)[C@H](F)CNc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O
CHEMBL4107677,CC(C)c1cc(Nc2cc(-n3ncc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)[nH]n1
CHEMBL3953023,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC1CCCCO1
CHEMBL4113443,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(F)cnc32)cc1NC1CCC(F)C1
CHEMBL4083650,CN(C)[C@H]1CC[C@H](Nc2ncnc3ccc(C#N)cc23)CC1
CHEMBL3403445,Nc1ncc(-c2nc(-c3ccccc3)cs2)c(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)n1
CHEMBL4447648,O=C1CCC(N2C(=O)c3ccc(OCCOCCOCCN4CCN(Cc5ccc6c(c5)nc(NC(=O)c5cccc(C(F)(F)F)c5)n6[C@H]5CC[C@@H](CO)CC5)CC4)cc3C2=O)C(=O)N1
CHEMBL3980091,CC(=O)N1CCC(N2CCC(c3cc(NC(=O)c4cnn5cccnc45)n(-c4ccc(C)cc4)n3)CC2)CC1
CHEMBL3936754,Cc1ccc(-n2nc(C3CCN(C4CCC4)CC3)cc2NC(=O)c2cnn3cccnc23)c(F)c1
CHEMBL4088438,CS(=O)(=O)N1CCN([C@H]2CC[C@H](Nc3ncnc4[nH]cc(C5CCOCC5)c34)CC2)CC1
CHEMBL4082572,N#Cc1ccc2ncnc(N[C@H]3CC[C@H](N)CC3)c2c1
CHEMBL4099061,CC(C)c1ccc2ncnc(N[C@H]3CC[C@H](N(C)C)CC3)c2c1
